EQUIPE,JOGADOR,POSICAO,ID,Q,TEMPO,MOMENTO,DURACAO,FUNDAMENTO
Atlético-GO,Jean,Goleiro,46563260,3,2,403,26,lancamento
Atlético-MG,Everson,Goleiro,46578326,4,4,1843,19,lancamento
Atlético-GO,Jean,Goleiro,46574017,3,4,78,17,lancamento
Atlético-GO,Jean,Goleiro,46567281,2,2,1568,16,lancamento
Atlético-GO,Gilvan,Zagueiro,46576263,7,4,938,14,passe
Atlético-GO,Jean,Goleiro,46570240,3,2,2664,13,lancamento
Atlético-MG,Everson,Goleiro,46574239,10,4,166,10,lancamento
Atlético-GO,Everton Felipe,Meia,46579950,23,4,2649,9,passe
Atlético-GO,Jean,Goleiro,46577200,9,4,1297,9,lancamento
Atlético-GO,Gustavo Ferrareis,Meia,46564280,31,2,793,8,drible
Atlético-MG,Alan Franco,Meia,46564076,33,2,738,8,finalizacao
Atlético-GO,Everton Felipe,Meia,46578298,26,4,1832,8,viradaDeJogo
Atlético-GO,Janderson,Atacante,46577237,30,4,1311,8,faltaRecebida
Atlético-MG,Savarino,Meia,46571343,29,2,2973,7,drible
Atlético-GO,Chico,Meia,46567344,24,2,1598,7,viradaDeJogo
Atlético-GO,Dudu,Lateral direito,46564749,12,2,916,7,passe
Atlético-GO,Jean,Goleiro,46578611,10,4,2044,7,lancamento
Atlético-MG,Keno,Atacante,46575510,31,4,675,7,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46575470,20,4,666,7,passe
Atlético-GO,Jean,Goleiro,46573867,9,4,34,7,lancamento
Atlético-MG,Jair,Volante,46570393,23,2,2713,6,passe
Atlético-GO,João Victor,Zagueiro,46569906,2,2,2573,6,lancamento
Atlético-GO,Nicolas,Lateral esquerdo,46569484,26,2,2435,6,cruzamento
Atlético-GO,Janderson,Atacante,46569365,23,2,2388,6,passe
Atlético-GO,Gustavo Ferrareis,Meia,46565899,31,2,1218,6,cruzamento
Atlético-GO,Janderson,Atacante,46564344,30,2,811,6,cruzamento
Atlético-GO,Jean,Goleiro,46562993,10,2,324,6,passe
Atlético-GO,João Victor,Zagueiro,46578624,30,4,2053,6,passe
Atlético-MG,Keno,Atacante,46578401,26,4,1914,6,finalizacao
Atlético-GO,Gustavo Ferrareis,Meia,46576288,13,4,954,6,faltaRecebida
Atlético-MG,Nathan,Meia,46575672,25,4,724,6,passe
Atlético-GO,Renato Kayzer,Atacante,46571089,19,2,2908,5,viradaDeJogo
Atlético-MG,Guga,Lateral direito,46570898,17,2,2848,5,lancamento
Atlético-MG,Junior Alonso,Lateral esquerdo,46570868,15,2,2842,5,passe
Atlético-MG,Alan Franco,Meia,46570639,28,2,2778,5,passe
Atlético-MG,Savarino,Meia,46569605,30,2,2480,5,passe
Atlético-GO,Nicolas,Lateral esquerdo,46569394,14,2,2397,5,lancamento
Atlético-GO,Nicolas,Lateral esquerdo,46569119,32,2,2294,5,finalizacao
Atlético-GO,Jean,Goleiro,46569104,4,2,2284,5,lancamento
Atlético-GO,Jean,Goleiro,46569082,3,2,2270,5,passe
Atlético-MG,Keno,Atacante,46568622,31,2,2080,5,drible
Atlético-MG,Savarino,Meia,46567968,29,2,1810,5,passe
Atlético-MG,Keno,Atacante,46567543,26,2,1658,5,perdaPosseDeBola
Atlético-MG,Junior Alonso,Lateral esquerdo,46564574,10,2,879,5,passe
Atlético-GO,Gustavo Ferrareis,Meia,46564302,31,2,803,5,viradaDeJogo
Atlético-MG,Keno,Atacante,46564023,32,2,730,5,drible
Atlético-MG,Allan,Volante,46563934,13,2,708,5,faltaRecebida
Atlético-MG,Junior Alonso,Lateral esquerdo,46563673,14,2,596,5,passe
Atlético-MG,Everson,Goleiro,46563622,5,2,574,5,lancamento
Atlético-MG,Junior Alonso,Lateral esquerdo,46563177,15,2,395,5,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46563133,25,2,382,5,passe
Atlético-GO,Jean,Goleiro,46562679,4,2,210,5,lancamento
Atlético-MG,Allan,Volante,46562598,7,2,177,5,passe
Atlético-GO,Jean,Goleiro,46562188,4,2,21,5,lancamento
Atlético-GO,Everton Felipe,Meia,46580347,35,4,2930,5,passe
Atlético-MG,Nathan,Meia,46580262,17,4,2819,5,faltaRecebida
Atlético-MG,Igor Rabello,Zagueiro,46580259,12,4,2813,5,passe
Atlético-GO,Éder Ferreira,Zagueiro,46580045,16,4,2702,5,passe
Atlético-GO,Edson,Volante,46579691,15,4,2547,5,passe
Atlético-GO,João Victor,Zagueiro,46579578,36,4,2489,5,passe
Atlético-GO,Matheus Vargas,Meia,46579257,22,4,2331,5,lancamento
Atlético-GO,Chico,Meia,46578376,30,4,1892,5,passe
Atlético-GO,Matheus Vargas,Meia,46578226,23,4,1778,5,viradaDeJogo
Atlético-GO,Jean,Goleiro,46578172,9,4,1751,5,passe
Atlético-MG,Keno,Atacante,46576763,33,4,1154,5,gol
Atlético-GO,Chico,Meia,46576489,16,4,1028,5,passe
Atlético-MG,Savarino,Meia,46576022,36,4,870,5,cruzamento
Atlético-MG,Igor Rabello,Zagueiro,46575210,12,4,571,5,lancamento
Atlético-MG,Réver,Zagueiro,46574194,24,4,156,5,drible
Atlético-MG,Keno,Atacante,46574161,31,4,140,5,cruzamento
Atlético-GO,Éder Ferreira,Zagueiro,46573955,10,4,63,5,passe
Atlético-GO,Dudu,Lateral direito,46571235,30,2,2945,4,passe
Atlético-GO,Janderson,Atacante,46571221,36,2,2941,4,passe
Atlético-GO,Janderson,Atacante,46570759,28,2,2812,4,passe
Atlético-GO,Renato Kayzer,Atacante,46570749,25,2,2807,4,passe
Atlético-GO,Jean,Goleiro,46570538,3,2,2758,4,lancamento
Atlético-GO,Jean,Goleiro,46570022,13,2,2612,4,viradaDeJogo
Atlético-GO,Gustavo Ferrareis,Meia,46569869,14,2,2564,4,passe
Atlético-GO,Dudu,Lateral direito,46569346,18,2,2384,4,passe
Atlético-GO,Janderson,Atacante,46569090,18,2,2275,4,passe
Atlético-MG,Guga,Lateral direito,46568585,23,2,2066,4,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46568552,13,2,2056,4,passe
Atlético-MG,Guga,Lateral direito,46567661,17,2,1698,4,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46567637,14,2,1690,4,passe
Atlético-GO,Jean,Goleiro,46567563,4,2,1667,4,passe
Atlético-GO,Chico,Meia,46566935,20,2,1487,4,viradaDeJogo
Atlético-MG,Réver,Zagueiro,46566570,22,2,1396,4,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46566181,20,2,1309,4,lancamento
Atlético-GO,Jean,Goleiro,46565855,4,2,1211,4,lancamento
Atlético-MG,Réver,Zagueiro,46565676,16,2,1133,4,passe
Atlético-MG,Everson,Goleiro,46564352,4,2,816,4,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46563915,8,2,703,4,passe
Atlético-MG,Guga,Lateral direito,46563891,17,2,695,4,passe
Atlético-GO,Gustavo Ferrareis,Meia,46563754,27,2,636,4,finalizacao
Atlético-MG,Savarino,Meia,46563563,36,2,547,4,passe
Atlético-GO,Dudu,Lateral direito,46563030,30,2,337,4,passe
Atlético-GO,Éder Ferreira,Zagueiro,46563005,15,2,330,4,passe
Atlético-GO,Renato Kayzer,Atacante,46562888,34,2,299,4,faltaCometida
Atlético-GO,Janderson,Atacante,46562872,31,2,291,4,cruzamento
Atlético-GO,João Victor,Zagueiro,46562741,17,2,231,4,passe
Atlético-GO,Jean,Goleiro,46562471,2,2,117,4,lancamento
Atlético-MG,Igor Rabello,Zagueiro,46580270,16,4,2838,4,passe
Atlético-MG,Everson,Goleiro,46580170,5,4,2763,4,passe
Atlético-GO,João Victor,Zagueiro,46580092,29,4,2726,4,passe
Atlético-GO,Nicolas,Lateral esquerdo,46580072,14,4,2717,4,passe
Atlético-GO,Nicolas,Lateral esquerdo,46579799,14,4,2590,4,passe
Atlético-GO,João Victor,Zagueiro,46579310,5,4,2362,4,passe
Atlético-GO,João Victor,Zagueiro,46579184,18,4,2306,4,faltaRecebida
